CID,pose_index,docking_score,num_viable_poses,rmsd_pairwise_std,rmsd_to_best_std,MWT,TPSA,logP,HBD,HBA,SMILES
Z1198960055,2,-9.188,6,0.3007644612883721,0.37506886011655094,322.3639999999997,67.43,3.2223000000000015,2,3,[H]c1c([H])c([H])c(C(=O)N([H])c2c([H])c([H])c3c(c2[H])C([H])([H])C(=O)N3[H])c(OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
Z168978470,1,-9.16,6,0.43506600062945683,0.3753805717598523,307.3569999999997,85.95,3.3374000000000006,2,6,[H]c1c([H])c([H])c(OC([H])(c2nc(N([H])[H])nc(N([H])c3c([H])c([H])c([H])c([H])c3[H])n2)C([H])([H])[H])c([H])c1[H]
49863196,1,-9.156,6,0.34081058242851336,0.29275426207156463,309.37299999999965,76.58000000000001,3.3740000000000014,1,5,[H]c1nc(OC([H])([H])C2([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c2c(n1)nc(-c1c([H])nc([H])c([H])c1[H])n2[H]
Z218103890,1,-9.155,5,0.44594315498066983,0.6323863165250745,423.49299999999965,90.92,2.090799999999999,2,6,[H]c1c([H])c([H])c(N([H])C(=O)C2([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])c3nc(C([H])([H])Oc4c([H])c([H])c(OC([H])([H])[H])c([H])c4[H])no3)C2([H])[H])c([H])c1[H]
Z91647328,3,-9.155,6,0.32315120093797606,0.13833869041584354,321.3839999999997,85.95,3.3932400000000023,2,6,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1OC([H])([H])c1nc(N([H])[H])nc(N([H])c2c([H])c([H])c(C([H])([H])[H])c([H])c2[H])n1
Z91661383,1,-9.134,6,0.2401437390812721,0.17355763051029927,350.3819999999997,129.04000000000002,2.18372,3,7,[H]c1c([H])c([H])c(C(=O)N([H])[H])c(OC([H])([H])c2nc(N([H])[H])nc(N([H])c3c([H])c([H])c(C([H])([H])[H])c([H])c3[H])n2)c1[H]
Z1526896036,1,-9.115,6,0.4359408022585471,0.5054917726575641,325.4159999999996,84.14,2.5387400000000007,2,5,[H]c1c(C([H])([H])[H])nc(N([H])c2c([H])c([H])c([H])c(N3C([H])([H])C([H])([H])C([H])(C(=O)N([H])[H])C([H])([H])C3([H])[H])c2[H])nc1C([H])([H])[H]
Z2996605995,1,-9.115,8,0.30480905158716326,0.24916638087640602,330.81499999999966,51.22,4.392940000000003,1,3,[H]c1c(C([H])([H])[H])nc(C([H])([H])[H])c(N([H])C(=O)c2c(Cl)c([H])c([H])c([H])c2OC([H])([H])C2([H])C([H])([H])C2([H])[H])c1[H]
Z31409736,1,-9.101,5,0.23788843578091934,0.33178868741571454,366.4609999999997,67.43,3.9006000000000025,2,3,[H]c1c([H])c([H])c(C([H])([H])Oc2c([H])c([H])c(N([H])C(=O)C([H])([H])N([H])C(=O)C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])c([H])c1[H]
5329560,1,-9.08,6,0.29399473094658074,0.14818710237050395,353.42599999999965,84.95,4.064200000000002,2,6,[H]c1c([H])c(N([H])c2nc(OC([H])([H])C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c3c(n2)nc([H])n3[H])c([H])c([H])c1OC([H])([H])[H]
