CID,status,out_pdbqt,best_kcal_mol,error
Z1614248048,ok,docked_out_exh_32/Z1614248048_dock.pdbqt,,
Z3006954377,ok,docked_out_exh_32/Z3006954377_dock.pdbqt,,
Z2996605995,ok,docked_out_exh_32/Z2996605995_dock.pdbqt,,
Z3071600379,ok,docked_out_exh_32/Z3071600379_dock.pdbqt,,
Z321281298,ok,docked_out_exh_32/Z321281298_dock.pdbqt,,
Z2792840666,ok,docked_out_exh_32/Z2792840666_dock.pdbqt,,
Z218103890,ok,docked_out_exh_32/Z218103890_dock.pdbqt,,
Z3091154570,ok,docked_out_exh_32/Z3091154570_dock.pdbqt,,
Z352550402,ok,docked_out_exh_32/Z352550402_dock.pdbqt,,
Z30167053,ok,docked_out_exh_32/Z30167053_dock.pdbqt,,
Z197456916,ok,docked_out_exh_32/Z197456916_dock.pdbqt,,
Z3000762692,ok,docked_out_exh_32/Z3000762692_dock.pdbqt,,
Z357964720,ok,docked_out_exh_32/Z357964720_dock.pdbqt,,
Z3807133138,ok,docked_out_exh_32/Z3807133138_dock.pdbqt,,
Z25935093,ok,docked_out_exh_32/Z25935093_dock.pdbqt,,
Z3590543759,ok,docked_out_exh_32/Z3590543759_dock.pdbqt,,
Z442313918,ok,docked_out_exh_32/Z442313918_dock.pdbqt,,
Z373005086,ok,docked_out_exh_32/Z373005086_dock.pdbqt,,
Z31409736,ok,docked_out_exh_32/Z31409736_dock.pdbqt,,
Z1827616875,ok,docked_out_exh_32/Z1827616875_dock.pdbqt,,
Z48858335,ok,docked_out_exh_32/Z48858335_dock.pdbqt,,
Z321303522,ok,docked_out_exh_32/Z321303522_dock.pdbqt,,
Z4521998795,ok,docked_out_exh_32/Z4521998795_dock.pdbqt,,
Z48852930,ok,docked_out_exh_32/Z48852930_dock.pdbqt,,
Z28498395,ok,docked_out_exh_32/Z28498395_dock.pdbqt,,
Z3950664500,ok,docked_out_exh_32/Z3950664500_dock.pdbqt,,
Z373007178,ok,docked_out_exh_32/Z373007178_dock.pdbqt,,
Z56890527,ok,docked_out_exh_32/Z56890527_dock.pdbqt,,
Z56854611,ok,docked_out_exh_32/Z56854611_dock.pdbqt,,
Z368851922,ok,docked_out_exh_32/Z368851922_dock.pdbqt,,
Z4122330572,ok,docked_out_exh_32/Z4122330572_dock.pdbqt,,
Z645508114,ok,docked_out_exh_32/Z645508114_dock.pdbqt,,
Z237513862,ok,docked_out_exh_32/Z237513862_dock.pdbqt,,
Z57346758,ok,docked_out_exh_32/Z57346758_dock.pdbqt,,
Z4464308327,ok,docked_out_exh_32/Z4464308327_dock.pdbqt,,
Z51119793,ok,docked_out_exh_32/Z51119793_dock.pdbqt,,
Z646312476,ok,docked_out_exh_32/Z646312476_dock.pdbqt,,
Z57110395,ok,docked_out_exh_32/Z57110395_dock.pdbqt,,
Z46401918,ok,docked_out_exh_32/Z46401918_dock.pdbqt,,
Z2992988213,ok,docked_out_exh_32/Z2992988213_dock.pdbqt,,
Z48861625,ok,docked_out_exh_32/Z48861625_dock.pdbqt,,
Z57110399,ok,docked_out_exh_32/Z57110399_dock.pdbqt,,
Z332934574,ok,docked_out_exh_32/Z332934574_dock.pdbqt,,
Z646214330,ok,docked_out_exh_32/Z646214330_dock.pdbqt,,
Z769272146,ok,docked_out_exh_32/Z769272146_dock.pdbqt,,
Z235827660,ok,docked_out_exh_32/Z235827660_dock.pdbqt,,
Z407410718,ok,docked_out_exh_32/Z407410718_dock.pdbqt,,
Z646268634,ok,docked_out_exh_32/Z646268634_dock.pdbqt,,
Z811085044,ok,docked_out_exh_32/Z811085044_dock.pdbqt,,
Z645226424,ok,docked_out_exh_32/Z645226424_dock.pdbqt,,
Z811081058,ok,docked_out_exh_32/Z811081058_dock.pdbqt,,
Z776287114,ok,docked_out_exh_32/Z776287114_dock.pdbqt,,
Z52659738,ok,docked_out_exh_32/Z52659738_dock.pdbqt,,
Z746476900,ok,docked_out_exh_32/Z746476900_dock.pdbqt,,
Z990898380,ok,docked_out_exh_32/Z990898380_dock.pdbqt,,
Z89684168,ok,docked_out_exh_32/Z89684168_dock.pdbqt,,
Z91647328,ok,docked_out_exh_32/Z91647328_dock.pdbqt,,
Z878814608,ok,docked_out_exh_32/Z878814608_dock.pdbqt,,
Z94803042,ok,docked_out_exh_32/Z94803042_dock.pdbqt,,
Z56974472,ok,docked_out_exh_32/Z56974472_dock.pdbqt,,
Z991906088,ok,docked_out_exh_32/Z991906088_dock.pdbqt,,
Z646130978,ok,docked_out_exh_32/Z646130978_dock.pdbqt,,
Z91661383,ok,docked_out_exh_32/Z91661383_dock.pdbqt,,
Z442860920,ok,docked_out_exh_32/Z442860920_dock.pdbqt,,
Z996015122,ok,docked_out_exh_32/Z996015122_dock.pdbqt,,
Z415073346,ok,docked_out_exh_32/Z415073346_dock.pdbqt,,
Z56840013,ok,docked_out_exh_32/Z56840013_dock.pdbqt,,
Z89758626,ok,docked_out_exh_32/Z89758626_dock.pdbqt,,
Z98478099,ok,docked_out_exh_32/Z98478099_dock.pdbqt,,
